feature,importance
MS_SubClass_One_Story_1946_and_Newer_All_Styles_False,0.00010421555
BsmtFin_Type_1_LwQ_True,0.00010325028
BsmtFin_Type_2_Unf_False,0.00010324796
Exterior_2nd_HdBoard_True,0.00010205804
Garage_Type_BuiltIn_False,9.744823e-05
Exterior_1st_Stucco_False,9.529709e-05
BsmtFin_Type_1_LwQ_False,9.242467e-05
BsmtFin_Type_1_ALQ_True,9.218526e-05
Exterior_2nd_Stucco_False,8.875294e-05
Sale_Type_New_True,8.24818e-05
Exterior_1st_WdShing_False,8.1945895e-05
Roof_Style_Gable_True,8.092172e-05
Fireplace_Qu_Fair_False,7.902822e-05
Bsmt_Cond_Typical_True,7.872288e-05
Condition_2_Feedr_False,7.871414e-05
Sale_Type_ConLI_True,7.8391146e-05
Condition_1_RRAn_True,7.6146185e-05
MS_SubClass_One_Story_1946_and_Newer_All_Styles_True,7.557592e-05
BsmtFin_Type_1_GLQ_True,7.275507e-05
MS_SubClass_One_Story_with_Finished_Attic_All_Ages_False,7.1840215e-05
Exterior_2nd_Plywood_True,7.1312206e-05
Garage_Type_BuiltIn_True,7.096726e-05
Garage_Type_Detchd_True,7.030617e-05
Exterior_2nd_Wd Shng_True,6.967162e-05
BsmtFin_Type_2_GLQ_False,6.95237e-05
BsmtFin_Type_2_GLQ_True,6.686298e-05
Condition_1_PosN_True,6.662217e-05
Neighborhood_Timberland_True,6.6274064e-05
Exterior_1st_WdShing_True,6.568996e-05
Neighborhood_Meadow_Village_False,6.5369546e-05
Sale_Type_ConLw_True,6.47018e-05
Condition_2_Norm_False,6.383715e-05
Garage_Cond_Fair_False,6.344056e-05
Functional_Mod_False,6.2776904e-05
House_Style_Two_Story_True,6.236592e-05
Functional_Min1_True,6.0792434e-05
Foundation_CBlock_True,5.978174e-05
Garage_Qual_Fair_True,5.8944417e-05
Garage_Type_No_Garage_False,5.894221e-05
Neighborhood_Bloomington_Heights_True,5.8466674e-05
Sale_Type_ConLD_False,5.748311e-05
Functional_Min1_False,5.4124102e-05
Neighborhood_North_Ames_True,5.0755552e-05
Neighborhood_Greens_True,4.75066e-05
Exterior_2nd_MetalSd_False,4.690649e-05
Neighborhood_Iowa_DOT_and_Rail_Road_False,4.544702e-05
Roof_Style_Gambrel_False,4.4879478e-05
Foundation_BrkTil_True,4.0870364e-05
Foundation_Slab_False,4.082241e-05
Sale_Type_CWD_False,3.9190913e-05
Neighborhood_Northridge_True,3.8158694e-05
Overall_Qual_Poor_True,3.7728572e-05
Exterior_1st_AsbShng_True,3.7682057e-05
Condition_2_Artery_False,3.6263627e-05
House_Style_One_and_Half_Unf_False,3.5283123e-05
Neighborhood_Briardale_False,3.497592e-05
BsmtFin_Type_2_LwQ_False,3.458424e-05
Roof_Style_Gambrel_True,3.4196553e-05
Garage_Cond_Excellent_False,3.356558e-05
Sale_Type_ConLw_False,3.2678472e-05
Neighborhood_Brookside_True,3.2421005e-05
Functional_Maj2_True,3.0474914e-05
House_Style_SFoyer_True,2.8418319e-05
Exterior_2nd_AsbShng_False,2.6444828e-05
Neighborhood_Iowa_DOT_and_Rail_Road_True,2.6423402e-05
Exterior_2nd_BrkFace_False,2.6257856e-05
Garage_Qual_Typical_True,2.5884947e-05
House_Style_SLvl_True,2.5385269e-05
Garage_Type_CarPort_False,2.346741e-05
Neighborhood_Old_Town_True,2.1209684e-05
Functional_Maj1_True,2.103377e-05
Condition_1_RRNe_False,1.9320836e-05
Exterior_2nd_BrkFace_True,1.6271504e-05
Exterior_1st_Plywood_True,1.5754438e-05
Bsmt_Cond_Fair_True,1.2856309e-05
Sale_Type_ConLD_True,1.1863222e-05
MS_SubClass_One_Story_1945_and_Older_True,1.0911034e-05
Condition_1_Artery_True,1.0362031e-05
